course_number,course_code,lecture_number,lecture_name,Worksheet,Readings,Others,Slides,lecture_link,lab_notes
6741,COMP,1,Introduction to Intelligent Systems,,,,lecture_content/COMP474_6741/slides01.pdf,https://moodle.concordia.ca/moodle/course/view.php?id=162041#coursecontentcollapse2,
6741,COMP,2,Introduction to Knowledge Graphs (RDF),lecture_content/COMP474_6741/worksheet01.pdf,,,lecture_content/COMP474_6741/slides02.pdf,https://moodle.concordia.ca/moodle/course/view.php?id=162041#coursecontentcollapse3,
6741,COMP,3,"Knowledge Graphs: Vocabularies & Ontologies (RDFS, OWL)",lecture_content/COMP474_6741/worksheet02.pdf,,,lecture_content/COMP474_6741/slides03.pdf,https://moodle.concordia.ca/moodle/course/view.php?id=162041#coursecontentcollapse4,
6741,COMP,4,Knowledge Base Queries (SPARQL) and Linked Open Data (LOD),lecture_content/COMP474_6741/worksheet03.pdf,,,lecture_content/COMP474_6741/slides04.pdf,https://moodle.concordia.ca/moodle/course/view.php?id=162041#coursecontentcollapse5,
6741,COMP,5,Personalization & Recommender Systems,lecture_content/COMP474_6741/worksheet04.pdf,,,lecture_content/COMP474_6741/slides05.pdf,https://moodle.concordia.ca/moodle/course/view.php?id=162041#coursecontentcollapse6,
6741,COMP,6,Introduction to Machine Learning (ML) for Intelligent Systems,lecture_content/COMP474_6741/worksheet05.pdf,,,lecture_content/COMP474_6741/slides06.pdf,https://moodle.concordia.ca/moodle/course/view.php?id=162041#coursecontentcollapse7,
6741,COMP,7,Midterm exam (tentative!),,,,,https://moodle.concordia.ca/moodle/course/view.php?id=162041#coursecontentcollapse8,
6741,COMP,8,Intelligent Agents & Introduction to Natural Language Processing (NLP),lecture_content/COMP474_6741/worksheet06.pdf,,,lecture_content/COMP474_6741/slides07.pdf,https://moodle.concordia.ca/moodle/course/view.php?id=162041#coursecontentcollapse9,
6741,COMP,9,Text Mining Systems,lecture_content/COMP474_6741/worksheet07.pdf,,,lecture_content/COMP474_6741/slides08.pdf,https://moodle.concordia.ca/moodle/course/view.php?id=162041#coursecontentcollapse10,
6741,COMP,10,Artificial Neural Networks (ANNs) & Word Embeddings,,,,,,
6741,COMP,11,Introduction to Deep Learning,,,,,,
6741,COMP,12,Deep Learning for Intelligent Systems,,,,,,
474,COMP,1,Introduction to Intelligent Systems,,,,lecture_content/COMP474_6741/slides01.pdf,https://moodle.concordia.ca/moodle/course/view.php?id=162041#coursecontentcollapse2,
474,COMP,2,Introduction to Knowledge Graphs (RDF),lecture_content/COMP474_6741/worksheet01.pdf,,,lecture_content/COMP474_6741/slides02.pdf,https://moodle.concordia.ca/moodle/course/view.php?id=162041#coursecontentcollapse3,
474,COMP,3,"Knowledge Graphs: Vocabularies & Ontologies (RDFS, OWL)",lecture_content/COMP474_6741/worksheet02.pdf,,,lecture_content/COMP474_6741/slides03.pdf,https://moodle.concordia.ca/moodle/course/view.php?id=162041#coursecontentcollapse4,
474,COMP,4,Knowledge Base Queries (SPARQL) and Linked Open Data (LOD),lecture_content/COMP474_6741/worksheet03.pdf,,,lecture_content/COMP474_6741/slides04.pdf,https://moodle.concordia.ca/moodle/course/view.php?id=162041#coursecontentcollapse5,
474,COMP,5,Personalization & Recommender Systems,lecture_content/COMP474_6741/worksheet04.pdf,,,lecture_content/COMP474_6741/slides05.pdf,https://moodle.concordia.ca/moodle/course/view.php?id=162041#coursecontentcollapse6,
474,COMP,6,Introduction to Machine Learning (ML) for Intelligent Systems,lecture_content/COMP474_6741/worksheet05.pdf,,,lecture_content/COMP474_6741/slides06.pdf,https://moodle.concordia.ca/moodle/course/view.php?id=162041#coursecontentcollapse7,
474,COMP,7,Midterm exam (tentative!),,,,,https://moodle.concordia.ca/moodle/course/view.php?id=162041#coursecontentcollapse8,
474,COMP,8,Intelligent Agents & Introduction to Natural Language Processing (NLP),lecture_content/COMP474_6741/worksheet06.pdf,,,lecture_content/COMP474_6741/slides07.pdf,https://moodle.concordia.ca/moodle/course/view.php?id=162041#coursecontentcollapse9,
474,COMP,9,Text Mining Systems,lecture_content/COMP474_6741/worksheet07.pdf,,,lecture_content/COMP474_6741/slides08.pdf,https://moodle.concordia.ca/moodle/course/view.php?id=162041#coursecontentcollapse10,
474,COMP,10,Artificial Neural Networks (ANNs) & Word Embeddings,,,,,,
474,COMP,11,Introduction to Deep Learning,,,,,,
474,COMP,12,Deep Learning for Intelligent Systems,,,,,,
6231,COMP,1,Introduction to Distributed Systems,,,,lecture_content/COMP_6231/Lecture01.pdf,https://moodle.concordia.ca/moodle/course/view.php?id=159615#coursecontentcollapse2,lecture_content/COMP_6231/Lab1.pdf
6231,COMP,2,Architectures,,,,lecture_content/COMP_6231/Lecture02.pdf,https://moodle.concordia.ca/moodle/course/view.php?id=159615#coursecontentcollapse2,lecture_content/COMP_6231/Lab2.pdf
6231,COMP,3,Processes,,,,"lecture_content/COMP_6231/Lecture03_1.pdf,lecture_content/COMP_6231/Lecture03_2.pdf",https://moodle.concordia.ca/moodle/course/view.php?id=159615#coursecontentcollapse3,"lecture_content/COMP_6231/Lab3_1.pdf,lecture_content/COMP_6231/Lab3_2.pdf"
6231,COMP,4,Communication,,,,"lecture_content/COMP_6231/Lecture04.pdf,lecture_content/COMP_6231/Lecture04_2.pptx,lecture_content/COMP_6231/Lecture04_3.pptx",https://moodle.concordia.ca/moodle/course/view.php?id=159615#coursecontentcollapse4,lecture_content/COMP_6231/Lab4.pdf
