lecture_number,course_number,course_code,topic_name,topic_provenance,db_link,wiki_link
1,6231,COMP,Distributed System,lecture_content/COMP_6231/Lecture01.pdf,,https://www.wikidata.org/wiki/Q3962217
1,6231,COMP,Parallel system,lecture_content/COMP_6231/Lecture01.pdf,https://dbpedia.org/page/Parallel_computing,
2,6231,COMP,Client Server Architecture,lecture_content/COMP_6231/Lecture02.pdf,https://dbpedia.org/page/Client%E2%80%93server_model,
2,6231,COMP,Decentralized Architecture,lecture_content/COMP_6231/Lecture02.pdf,https://dbpedia.org/page/Decentralization,
2,6231,COMP,Peer-peer Architecture,lecture_content/COMP_6231/Lecture02.pdf,https://dbpedia.org/page/Peer-to-peer,
2,6231,COMP,ROA: Resource Oriented Architecture,lecture_content/COMP_6231/Lecture02.pdf,,https://www.wikidata.org/wiki/Q13501132
2,6231,COMP,Tiering,lecture_content/COMP_6231/Lecture02.pdf,https://dbpedia.org/page/Multitier_architecture,
3,6231,COMP,Processes,lecture_content/COMP_6231/Lecture03_1.pdf,https://dbpedia.org/page/Process_management_(computing),
3,6231,COMP,Threads,lecture_content/COMP_6231/Lecture03_1.pdf,https://dbpedia.org/page/Thread_(computing),
3,6231,COMP,Virtualisation,lecture_content/COMP_6231/Lecture03_2.pdf,https://dbpedia.org/page/Virtualization,
3,6231,COMP,Hypervisor,lecture_content/COMP_6231/Lecture03_2.pdf,https://dbpedia.org/page/Hypervisor,
3,6231,COMP,Paravirtualization,lecture_content/COMP_6231/Lecture03_2.pdf,,https://www.wikidata.org/wiki/Q1333845
4,6231,COMP,Networking Models,lecture_content/COMP_6231/Lecture04.pdf,https://dbpedia.org/page/Network_topology,
4,6231,COMP,Layered Protocols,lecture_content/COMP_6231/Lecture04.pdf,https://dbpedia.org/page/Protocol_stack,
4,6231,COMP,Network Classification,lecture_content/COMP_6231/Lecture04_2.pptx,https://dbpedia.org/page/Computer_network,
4,6231,COMP,Middleware Layers,lecture_content/COMP_6231/Lecture04_2.pptx,https://dbpedia.org/page/Middleware,
4,6231,COMP,Remote Procedural Call,lecture_content/COMP_6231/Lecture04_3.pptx,https://dbpedia.org/page/Remote_procedure_call,
4,6231,COMP,Message Passing Interface,lecture_content/COMP_6231/Lecture04_3.pptx,https://dbpedia.org/page/Open_MPI,
6,6231,COMP,Naming Systems,lecture_content/COMP_6231/Lecture06_1.pptx,https://dbpedia.org/page/Real-name_system,
6,6231,COMP,Domain Name system,lecture_content/COMP_6231/Lecture06_2.pptx,https://dbpedia.org/page/Domain_Name_System,
7,6231,COMP,Synchronization,lecture_content/COMP_6231/Lecture07_1.pptx,https://dbpedia.org/page/Synchronization_(computer_science),
7,6231,COMP,Logical Clock Synchronization,lecture_content/COMP_6231/Lecture07_2.pptx,,https://www.wikidata.org/wiki/Q1513059
8,6231,COMP,Election Algorithms,lecture_content/COMP_6231/Lecture08.pptx,https://dbpedia.org/page/Distributed_algorithm,
8,6231,COMP,Distributed Mutual Exclusion,lecture_content/COMP_6231/Lecture08.pptx,https://dbpedia.org/page/Distributed_algorithm,
10,6231,COMP,Replication,lecture_content/COMP_6231/Lecture10.pptx,https://dbpedia.org/page/Replication_(computing),
10,6231,COMP,Consistency Protocols,lecture_content/COMP_6231/Lecture10_2.pptx,https://dbpedia.org/page/Consistency_(database_systems),
11,6231,COMP,Fault-Tolerance,lecture_content/COMP_6231/Lecture11.pptx,https://dbpedia.org/page/Fault_tolerance,
11,6231,COMP,Availability,lecture_content/COMP_6231/Lecture11.pptx,"https://dbpedia.org/page/Reliability,_availability_and_serviceability",
11,6231,COMP,Reliability,lecture_content/COMP_6231/Lecture11.pptx,"https://dbpedia.org/page/Reliability,_availability_and_serviceability",
9,6231,COMP,PySpark,lecture_content/COMP_6231/Lab09.pdf,https://dbpedia.org/page/Apache_Spark,
1,6741,COMP,Introduction to Intelligent Systems,lecture_content/COMP474_6741/slides01.pdf,https://dbpedia.org/page/Intelligent_system,
1,6741,COMP,Text Mining,lecture_content/COMP474_6741/slides01.pdf,https://dbpedia.org/page/Text_mining,
1,6741,COMP,Knowledge Graphs,lecture_content/COMP474_6741/slides01.pdf,https://dbpedia.org/page/Knowledge_graph,
1,6741,COMP,Intelligent Agents,lecture_content/COMP474_6741/slides01.pdf,https://dbpedia.org/page/Intelligent_agent,
1,6741,COMP,AI in Agents,lecture_content/COMP474_6741/slides01.pdf,https://dbpedia.org/page/Artificial_intelligence,
2,6741,COMP,Knowledge Graphs,lecture_content/COMP474_6741/slides02.pdf,https://dbpedia.org/page/Knowledge_graph,
2,6741,COMP,Introduction to Knowledge Graphs,lecture_content/COMP474_6741/slides02.pdf,https://dbpedia.org/page/Knowledge_graph,
2,6741,COMP,Knowledge Representation,lecture_content/COMP474_6741/slides02.pdf,https://dbpedia.org/page/Category:Knowledge_representation,
2,6741,COMP,Histroy of Semantic web,lecture_content/COMP474_6741/slides02.pdf,https://dbpedia.org/page/Semantic_Web,
2,6741,COMP,Resource Description Framework (RDF),lecture_content/COMP474_6741/slides02.pdf,https://dbpedia.org/page/Resource_Description_Framework,
2,6741,COMP,Data Integration Examples,lecture_content/COMP474_6741/slides02.pdf,https://dbpedia.org/page/Data_integration,
3,6741,COMP,Knowledge Graphs: Vocabularies & Ontologies,lecture_content/COMP474_6741/slides03.pdf,https://dbpedia.org/page/Category:Ontology_(information_science),
3,6741,COMP,Anatomy of a URI,lecture_content/COMP474_6741/slides03.pdf,https://dbpedia.org/page/Uniform_Resource_Identifier,
3,6741,COMP,RDFS ( RDF Schema ),lecture_content/COMP474_6741/slides03.pdf,https://dbpedia.org/page/RDF_Schema,
3,6741,COMP,Vocabularies,lecture_content/COMP474_6741/slides03.pdf,https://dbpedia.org/page/Vocabulary,
3,6741,COMP,FOAF (Friend-of-a-Friend),lecture_content/COMP474_6741/slides03.pdf,https://dbpedia.org/page/Friend_of_a_friend,
3,6741,COMP,Dublin Core,lecture_content/COMP474_6741/slides03.pdf,https://dbpedia.org/page/Dublin_Core,
3,6741,COMP,SKOS,lecture_content/COMP474_6741/slides03.pdf,https://dbpedia.org/page/Simple_Knowledge_Organization_System,
4,6741,COMP,Knowledge Base Queries,lecture_content/COMP474_6741/slides04.pdf,https://dbpedia.org/page/Knowledge_base,
4,6741,COMP,OWL (Web Ontology Language),lecture_content/COMP474_6741/slides04.pdf,https://dbpedia.org/page/Web_Ontology_Language,
4,6741,COMP,Queries,lecture_content/COMP474_6741/slides04.pdf,https://dbpedia.org/page/Query,
4,6741,COMP,SPARQL Queries,lecture_content/COMP474_6741/slides04.pdf,https://dbpedia.org/page/SPARQL,
4,6741,COMP,SPARQL Protocol,lecture_content/COMP474_6741/slides04.pdf,https://dbpedia.org/page/SPARQL,
4,6741,COMP,Linked Open Data (LOD),lecture_content/COMP474_6741/slides04.pdf,https://dbpedia.org/page/Linked_data,
5,6741,COMP,Recommender Systems,lecture_content/COMP474_6741/slides05.pdf,https://dbpedia.org/page/Recommender_system,
5,6741,COMP,Modeling users,lecture_content/COMP474_6741/slides05.pdf,https://dbpedia.org/page/Data_modeling,
5,6741,COMP,Collaborative Filtering,lecture_content/COMP474_6741/slides05.pdf,https://dbpedia.org/page/Collaborative_filtering,
5,6741,COMP,Content-Based Recommendations,lecture_content/COMP474_6741/slides05.pdf,https://dbpedia.org/page/Recommender_system,
6,6741,COMP,Introduction to Machine Learning for Intelligent Systems,lecture_content/COMP474_6741/slides06.pdf,https://dbpedia.org/page/Machine_learning,
6,6741,COMP,Machine Learning Primer,lecture_content/COMP474_6741/slides06.pdf,https://dbpedia.org/page/Machine_learning,
6,6741,COMP,Clustering Documents (Suprevised Learning),lecture_content/COMP474_6741/slides06.pdf,https://dbpedia.org/page/Supervised_learning,
6,6741,COMP,Classification and Predictions (Unsupervised Learning),lecture_content/COMP474_6741/slides06.pdf,https://dbpedia.org/page/Unsupervised_learning,
6,6741,COMP,Machine Learning Evaluation,lecture_content/COMP474_6741/slides06.pdf,"https://dbpedia.org/page/Training,_validation,_and_test_data_sets",
7,6741,COMP,Intelligent Agents,lecture_content/COMP474_6741/slides07.pdf,https://dbpedia.org/page/Intelligent_agent,
7,6741,COMP,Intelligent Conversational Agents,lecture_content/COMP474_6741/slides07.pdf,https://dbpedia.org/page/Intelligent_agent,
